run,Population size,Generations,Starting frequency of A1
500ind_10Kgen_0p1AF,500,10000,0.1
500ind_10Kgen_0p2AF,500,10000,0.2
500ind_10Kgen_0p3AF,500,10000,0.3
500ind_10Kgen_0p4AF,500,10000,0.4
500ind_10Kgen_0p5AF,500,10000,0.5
500ind_10Kgen_0p6AF,500,10000,0.6
500ind_10Kgen_0p7AF,500,10000,0.7
500ind_10Kgen_0p8AF,500,10000,0.8
500ind_10Kgen_0p9AF,500,10000,0.9
1Kind_10Kgen_0p1AF,1000,10000,0.1
1Kind_10Kgen_0p2AF,1000,10000,0.2
1Kind_10Kgen_0p3AF,1000,10000,0.3
1Kind_10Kgen_0p4AF,1000,10000,0.4
1Kind_10Kgen_0p5AF,1000,10000,0.5
1Kind_10Kgen_0p6AF,1000,10000,0.6
1Kind_10Kgen_0p7AF,1000,10000,0.7
1Kind_10Kgen_0p8AF,1000,10000,0.8
1Kind_10Kgen_0p9AF,1000,10000,0.9
2Kind_10Kgen_0p1AF,2000,10000,0.1
2Kind_10Kgen_0p2AF,2000,10000,0.2
2Kind_10Kgen_0p3AF,2000,10000,0.3
2Kind_10Kgen_0p4AF,2000,10000,0.4
2Kind_10Kgen_0p5AF,2000,10000,0.5
2Kind_10Kgen_0p6AF,2000,10000,0.6
2Kind_10Kgen_0p7AF,2000,10000,0.7
2Kind_10Kgen_0p8AF,2000,10000,0.8
2Kind_10Kgen_0p9AF,2000,10000,0.9
5Kind_10Kgen_0p1AF,5000,10000,0.1
5Kind_10Kgen_0p2AF,5000,10000,0.2
5Kind_10Kgen_0p3AF,5000,10000,0.3
5Kind_10Kgen_0p4AF,5000,10000,0.4
5Kind_10Kgen_0p5AF,5000,10000,0.5
5Kind_10Kgen_0p6AF,5000,10000,0.6
5Kind_10Kgen_0p7AF,5000,10000,0.7
5Kind_10Kgen_0p8AF,5000,10000,0.8
5Kind_10Kgen_0p9AF,5000,10000,0.9
10Kind_10Kgen_0p1AF,10000,10000,0.1
10Kind_10Kgen_0p2AF,10000,10000,0.2
10Kind_10Kgen_0p3AF,10000,10000,0.3
10Kind_10Kgen_0p4AF,10000,10000,0.4
10Kind_10Kgen_0p5AF,10000,10000,0.5
10Kind_10Kgen_0p6AF,10000,10000,0.6
10Kind_10Kgen_0p7AF,10000,10000,0.7
10Kind_10Kgen_0p8AF,10000,10000,0.8
10Kind_10Kgen_0p9AF,10000,10000,0.9
Infinind_10Kgen_0p1AF,infinity,10000,0.1
Infinind_10Kgen_0p2AF,infinity,10000,0.2
Infinind_10Kgen_0p3AF,infinity,10000,0.3
Infinind_10Kgen_0p4AF,infinity,10000,0.4
Infinind_10Kgen_0p5AF,infinity,10000,0.5
Infinind_10Kgen_0p6AF,infinity,10000,0.6
Infinind_10Kgen_0p7AF,infinity,10000,0.7
Infinind_10Kgen_0p8AF,infinity,10000,0.8
Infinind_10Kgen_0p9AF,infinity,10000,0.9
